,Air Conditioning,Alarm,Balcony,Bike Paths,Bike room,Bus,Cable,Carpeted Floors,Central Vac,City views,Common Terrace,Concierge,Concrete Building,Corner Unit,Courtyard,Covered,Dishwasher,Disposal,Double garage,Electricity,Elevator,Extra-Wide Doorways,Fenced Backyard,Fire-Pit,Fireplace,Fitness Area,Fridge,Golf Course,Guest Parking,Guest Suite,Hardwood Floors,Heat,Hot-Tub,In-suite Storage,Internet,Internet Access,Jetted Tub/Jacuzzi,Lake,Laminate Floors,Laundry - Coin/Card,Laundry - In Suite,Laundry - Shared,Laundry Hookups,Linoleum Flooring,Luxury Vinyl Plank Flooring,Microwave,Mountain views,On-Site Management,Outdoor,Outdoor Pool,Oven/Stove,Party/Games Room,Patio/Deck,Penthouse Unit,Playground/Park,Pool,Private Entry,Public Library,Rent-to-Own,River,River Views,Sauna,Secure Entry,Shopping Center,Single garage,Skylight,Sports Complex,Steam Room,Storage Lockers,Street,Swimming Pool,Tennis Courts,Theatre,Tile Flooring,Train Access,Underground,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Walk-Out Basement,Walk-Up,Water,Wheelchair Access,Window Coverings,Zero-Step Entrance,acadia_clinic_DRIVING,availability_date,baths,beds,cole_home_TRANSIT,cole_home_WALKING,deposit,description,furnishing,lat,lease_term,listing_url,lon,name,price,sq_feet,sublisting,tiff_home_DRIVING,timestamp,type,unit_name,unit_notes,wildlife_DRIVING
,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,"Jul 01, 2020",2 ba,2 bd,,,$1775,"$699 Security Deposit** Applicable for a limited time. Terms and conditions apply.---Condo living without the fees! This extravagant rental property has 1, 1+den and 2 bedroom 2 bath suites. It also has in-suite laundry, air chilled units, floor to ceiling windows and open concept living. The 2 bedroom suites have fireplaces in them. The building has a fitness facility, lounge/media room with pool table and large screen TV and two guest suites. There is also a gazebo and BBQ area for residents use.Rouleau is set in the heart of the city, in historic Mission, among an eclectic blend of new construction and historic architecture.At Rouleau you'll be: - Minutes from 4th Street's trendy shopping and dining- Walking distance from the Talisman Center and the LRT- A quick, no hassle commute to the downtown core- Right next to the scenic Elbow River pathwaysBuilding features:- Lounge/Media room- Numerous suites with downtown and river views- Gym with modern fitness equipment - Landscaped garden area with gazebo and barbeque- Underground parking- Visitor parking- Underground bicycle storage rooms- Upgraded elevators- Designer corridors- Modern lobby- Social Room- Guest Suites - Video surveillance- Direct entry intercoms- Secure fob access to parkade and lobby- On-site recycling Utilities IncludedHeat Water Rouleau is professionally managed by QuadReal Residential Properties LP.* Photos are not of exact suite available or indicative of product quality and finishing. All suites are unfurnished. Prices and availability are subject to change. Contact us for complete details regarding our Pet Policy. Please inquire for up-to-the-minute information.",Unfurnished,51.0297644,Long Term,https://www.rentfaster.ca/343046,-114.0652542,Suite 4,$1775.00,1024,4,,2020-03-29 14:02:07.197616,Apartment,,Two Bedroom,
,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,Immediate,2 ba,2 bd,,,$1950,"-Possibility of a rent to own
-Non-Smoking
-Large, modern high end apartment condo
-Floor to ceiling windows, lots of natural light
-Great downtown skyline views
-In suite heating and air conditioning 
-In suite washer and dryer
-Natural gas connection on balcony for BBQ
-One secure underground parking stall is included
-Bike room
-Storage locker
-Great, central area 
-Located in great beltline location of 13 Avenue & 1St SW close to shopping, shops, gyms, restaurants and pubs
-Within short walking distance of downtown, Saddledome and Repsol Sport Center
-Union Square is soon to be joined to the neighbouring Underwood building; sharing building amenities including a new cafe/restaurant and security.
$1950 per month
-minimum six month lease


For more information or to arrange a viewing call or text Rian @ (403)650-6736 or send message



Beltline Vetro Nuera Sasso Keynote Castello Arriva Montana Mark Chocolate Colours Pixel",Unfurnished,51.04027720000001,Long Term,https://www.rentfaster.ca/321318,-114.0662295,Suite 0,$1950.00,943,0,,2020-03-29 14:03:07.714689,Condo,,,
,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,"May 01, 2020",2 ba,2 bd,,,$1800,"850 sqft 2 bedroom, 2 bathroom loft located in Marda Loop within walking distance to shops, grocery stores and public transportation.
Building and suite amenities:

Top floor loft with 16ft vaulted ceilings
South facing suite with open floor plan and large windows for lots of natural light
In floor radiant heating throughout
Marble counter tops with under mount sinks and tile backsplash
Premium stainless-steel appliance package
Kitchen includes a pantry
Master bedroom features spacious walk through closet and ensuite bathroom
Full sized washer & dryer
In-suite storage area
Spacious private balcony with natural gas hookup for BBQ
Pet friendly
Rent includes your heat, electricity, hot water and natural gas.
Heated underground parking spot
Keyless access entry to building
Secure intercom entry
Bicycle storage available


Suite is also available fully furnished for additional fee.
Contact us today to book your private viewing!",Negotiable,51.0221484,Long Term,https://www.rentfaster.ca/406139,-114.103649,Suite 0,$1800.00,850,0,,2020-03-29 14:04:08.349238,Condo,,,
,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,Negotiable,1.5 ba,2 bd + den,,,$925,Lower Mount Royal Walkup townhouse style condo close to park and down town. 3 balconies. You can see the fireworks from the top one. Includes barbecue. I utilities included. Your own hot water heater and furnace. New counters and carpet. Lots of windows and natural light,Negotiable,51.0371796,Negotiable,https://www.rentfaster.ca/406142,-114.08981090000002,Suite 0,$1850.00,1100,0,,2020-03-29 14:05:08.902662,Condo,,,
,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,Immediate,2 ba,2 bd + den,,,$2100,"Welcome to one of the premier buildings in the heart of the Beltline in Downtown Calgary. This executive style unit with modern finishes boasts more than 1,000 sq feet of living space, including an oversized master bedroom with floor to ceiling windows complete with a master ensuite and walk in closet, a spare bedroom with floor to ceiling windows, and a den with glass french doors. This is the perfect unit for a working professional or couple, with easy access to all of Downtown Calgary’s amenities. The unit itself features an in-suite storage room with a high efficiency washer and dryer, a desk area complete with granite desktop, a kitchen with stainless steel appliances, granite countertops, and an island bar area. The living room area features large windows overlooking the Downtown landscape. A sliding glass patio door reveals your balcony which is a perfect spot for grilling or enjoying the downtown views. With the floor to ceiling windows, open concept, and 12ft ceilings this unit is exceptionally big. The unit also includes 1 underground heated parking stall, and a secure storage locker on the 2nd floor of the building. Furniture is not included.
 The condo building is a 5 minute walk to the middle of 17th avenue (Analog Coffee, Trolley 5, Blanco, National 17th), a 15 minute walk to the middle of Stephen avenue (Cactus Club, Earls, Local), or stay within a 2 minute walk to local amenities (Bridgette Bar, Inner City Brewing, Brewster’s). Safeway is conveniently located directly across the street for all of your grocery needs, and a Canadian Tire and Best Buy are located only a 5 minute walk away. This centrally located building is absolutely ideal for all of your needs.
If you are interested in hearing more about the unit please inquire. Sorry no pets allowed in this unit.",Unfurnished,51.0421511,Long Term,https://www.rentfaster.ca/405938,-114.0786194,Suite 0,$2100.00,1050,0,,2020-03-29 14:17:18.149423,Apartment,,,
,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,"Apr 15, 2020",2 ba,2 bd,,,$2000,"Beautiful upgraded unit with gorgeous downtown view. Granite counters, cabinets to the ceiling, and new appliances. Incredible views of the Saddledome, Stampede grounds and the south. SE corner unit with a nice sized balcony. Unit is in excellent condition. Both bedrooms have their own bathroom. Floor to ceiling windows add to the already amazing views. Oversized titled parking spot. Nice cut-in office area. Building full of amenities including additional storage, fitness room, billiards, theatre and hot tub. Right across the street from the C Train.",Unfurnished,51.0386245,Negotiable,https://www.rentfaster.ca/405395,-114.0603557,Suite 0,$2000.00,1006,0,,2020-03-29 14:18:18.646983,Condo,,,
,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,"May 01, 2020",2 ba,2 bd,,,$1950,"Bright, 805 SqFt, 9 ft ceilings, 2 bedroom and 2 bathroom Penthouse Condo in the heart of Mission. Seize the occasion to rent from May 1st in the trendiest downtown location minutes away from 4th Street and 17th Avenue pubs, bars, restaurants, and stylish cafés. Less than 5 minute walk to Talisman / Repsol Sport Centre for a good after-work exercise, yoga or hut tub session. After a good sweat you will appreciate the brand new washer and dryer to give a thorough clean to your activewear. The laminate flooring, fireplace, granite kitchen counter, in-floor heating, 9ft ceiling, and spectacular view from the spacious balcony makes this apartment the perfect place to call home.This is an unfurnished home with a spacious master bedroom. Condo comes with a heated underground parking (value of $250 per month - included in the rent).",Unfurnished,51.035864795184004,Long Term,https://www.rentfaster.ca/105865,-114.068869546033,Suite 0,$1950.00,805,0,,2020-03-29 14:19:19.194294,Condo,,,
,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,Immediate,2 ba,2 bd,,,$1800,"Includes: 
Upgraded luxury suite on the 19th floor that shows Calgary great skyline. South and East exposures. 2 large bedrooms with 2 full luxury bathrooms. One room connects to a walk-in closet and the other has a balcony facing the Stampede park and Scotiabank Centre (perfect for viewing the fireworks). Includes 7 appliances. The suite includes 1 stall in a underground secured heated parking lot and 1 storage unit.


Be in walking distance of two LTR stations: near City Hall Station and Victoria Park Station and most of Downtown. Within walking distance of City Hall, Calgary theatre, Olympic Plaza, Stampede park, BMO Centre. 

Very bright and convenient Condo located close to many amenities, restaurants and clubs. 

The building includes several amenities: 
-Gym/ Fitness room - Hot tub/Spa - Sunterra market & restaurant, Plus 15 walkways - RBC -Starbucks - Entertainment room (for guest) -Large Rooftop Patio with community BBQ - Four Vines Liquor Store - 24 Hour Security",Unfurnished,51.0419901,Long Term,https://www.rentfaster.ca/116913,-114.0594374,Suite 0,$1950.00,850,0,,2020-03-29 14:23:20.227380,Condo,,,
,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,"May 01, 2020",2 ba,2 bd,,,$1850.00,"Elegant and modern, 2 bedroom 2 bathroom condo for rent. This unit features high ceilings, hardwood flooring, a modern kitchen with granite counters and a breakfast bar. There is in suite laundry and lots of in-suite storage for all your extra things.The large concrete patio perfect for those summer barbeques. The building has security entries, underground parking and a great location.  Walk to the great restaurants and shops on 4th Street or to work in the downtown core.  Enjoy the vibe, be surrounded by the artistic and historic community while living in a thoroughly modern condo. Text or email to view. Flexible lease terms available.",Unfurnished,51.0361024,Negotiable,https://www.rentfaster.ca/140378,-114.0690004,Suite 0,$1850.00,900 Sq Ft,0,,2020-03-29 14:25:20.877639,Condo,,,
,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,Immediate,2.5 ba,3 bd,,,$2200,"Located on a quiet cul-de sac, this lovely 3br, 2.5bath home in Garrison Woods boasts both beauty and history. Originally built in the 1950s as military housing, it was then gutted in the early 2000s and has since had more updates. Gorgeous, warm hardwood throughout, tile flooring, granite counter tops, gas oven/stove, high end appliances, central air conditioning, paved alley with double detached garage, fully fenced backyard with professional landscaping and underground sprinklers- this home has it all. This house offers an easy 15 minute commute and/or direct bus to downtown, near the Rockyview hospital and Mount Royal University, close to private schools, major grocery store and restaurants within walking distance- this location truly cannot be beat. There is a playground only steps away. This home would be best suited for a young professional family or a mature couple. Unfortunately, no dogs but cats will be considered.",Unfurnished,51.012137700000004,Negotiable,https://www.rentfaster.ca/405531,-114.111167,Suite 0,$2200.00,,0,,2020-03-29 15:29:51.068811,House,,,
